UNIT CODE, UNIT NAME
"IMED6005,",Integrated Pharmacology and Therapeutics - Central Nervous System
"MATH2007,",Mathematics and Probability Theory
"IMED6009,",Advanced Pharmaceutics 1
"IMED6004,",Advanced Pharmaceutics 2
"XINO3021,",International Study Abroad 5
"XINO3022,",International Study Abroad 6
"XINO3023,",International Study Abroad 7
"XINO3019,",International Experience 11
"XINO3020,",International Experience 12
"XINO3018,",International Experience 10
"SUST5023,",Sustainability Project
"SPAT1006,",Spatial Data Modelling and Errors
"ENGR3005,",Energy Transport
"CSEN4005,",Precast Concrete Design and Construction
"MGMT5053,",Applied Corporate Law (GIA)
"LAWS3024,",Current Topics in Law
"FORS5001,",Recovery and Detection of Latent Fingermarks
"PHRM6008,",Community Pharmacy Placement
"REHT5002,",Fundamentals of Clinical Science in Speech Pathology 2
"SPPA5000,",Fundamentals of Clinical Practice in Speech Pathology 1
"SPPA5001,",Fundamentals of Dysphagia Management
"EDIB4000,",Introduction to the International Baccalaureate Programme
"SPPA5002,",Fundamentals of Phonetics and Phonology
"SPPA6006,",Research Project in Speech Pathology
"SPPA6000,",Fundamentals of Clinical Practice in Speech Pathology 3
"SPPA6003,",Fundamentals of Clinical Practice in Speech Pathology 4
"REHT6001,",Fundamentals of Research to Practice in Speech Pathology
"REHT5001,",Fundamentals of Clinical Science in Speech Pathology 1
"REHT5004,",Fundamentals of Research Data Analysis in Speech Pathology
"ISAD4002,",Extended Software Metrics
"MIDW3007,",Women's Reproductive Health
"EDUC5027,",Diverse Abilities and Curriculum Differentiation
"PEEN4000,",Crude Oil Processing
"LAWS5004,",Law and Administrative Policies
"LAWS2007,",Comparative Law
"LAWS3013,",Construction Law
"MATH0005,",Bridging Mathematics
"VISA5000,",Art and Design Project 1
"JOUR5013,",Introduction to Journalism - Broadcast
"PUBP6010,",Decision Making Under Uncertainty
"EDSC2000,",Assessment in Secondary Schools
"PHRM6007,",Advanced Pharmacy Research
"PHRM5006,",Advanced Pharmacy Research Methods
"IMED5006,",Antimicrobial Therapeutics
"MGMT5016,",Graduate Business Research Project
"MINE1000,","Maintenance, Monitoring and Well Management"
"MIDW6003,",Maternity High Dependency
"PHTY7015,",Physiotherapy Doctoral Dissertation
"PHIL2000,",Spiritual Traditions and Religions of Borneo
"OCCT4004,",Fieldwork for Occupational Therapy 3
"NURS6002,",Health Project 2
"OCHS1000,",Occupational Health and Safety in Mining
"IMED5007,",Clinical Pharmacokinetics and Medicinal Chemistry
"INDH2007,",Mental Health Law and Ethics
"INDH2008,",Behavioural Science for Indigenous Mental Health Practitioners
"INDH2009,","Crisis Intervention, Self-Harm and Suicide Prevention"
"INDR1000,",Teamwork and Planning
"INDR1001,",Workplace Processes and Procedures
"INCD3007,",Indigenous Australian Community Practice
"INCD3008,",Working in Indigenous Australian Contexts
"PHAR6008,",Professional Pharmacy Practice 2
"ENEN6001,",Sustainable Energy Principles and Policy
"CHEN5022,",Fundamentals of Air Pollution Control
"WSEN5000,",Wastewater Treatment
"HUMB3007,",Applied Anatomical Practice
"NURS4005,",Health and Wellbeing in Older People
"MEDS3006,",Microbes and Disease
"ISEC6003,",Ethical Hacking
"FOOD5005,",Sustainable Futures 3
"MINE5015,",Future of Mining 1
"MINE5016,",Future of Mining 2
"MINE5017,",Future of Mining 3
"CMPE5002,",Internet of Things 1
"MGMT5041,",Business Futures 1
"MGMT5042,",Business Futures 2
"PUBH5002,",Health Advocacy 1
"PUBH5003,",Health Advocacy 2
"PUBH5004,",Health Advocacy 3
"PRJM5000,",Professional Practice 1
"PRJM5001,",Professional Practice 2
"PRJM5002,",Professional Practice 3
"GRDE5005,",Designing Futures 1
"GRDE5006,",Designing Futures 2
"GRDE5007,",Designing Futures 3
"FOOD5003,",Sustainable Futures 1
"FOOD5004,",Sustainable Futures 2
"INDH2001,",Indigenous Australian Health Project Management
"CHEM5012,",Applied Water Treatment Methods
"CHEM5008,",Principles of Chemical Analysis
"CHEM5011,",Water Case Studies
"MGMT6050,",Critical Studies of Business and Management
"FISH6000,",Master Thesis - Fisheries Sciences
"EDUC4002,",Education Project
"ECOM3000,",Econometric Theory
"ECOM6001,",Fundamental Business Statistics
"ELEN6001,",Petroleum Technology Process Engineering
"ELEN6003,",Electrical Utility Research Project 2
"XINO5009,",International Study (Study Exchange)
"XINO6003,",Health Sciences Study Abroad 1
"XINO6004,",Health Sciences Studies Abroad 2
"XINO6005,",Health Sciences Semester Abroad 4
"VISA6000,",Art and Design Project 3
"ECON6004,",Business Dissertation for Economics and Finance 2
"ECON6010,",Individual Case Study in Mineral Economics
"ECON6003,",Business Dissertation for Economics and Finance 1
"ECON6012,",Individual Case Study in Project Evaluation
"INAR2003,",Interior Architecture Design Communication
"SPPA4002,",Clinical Practice in Speech Pathology Honours 1
"SPPA4010,",Clinical Practice in Speech Pathology Honours 2
"MGMT6025,",Graduate Business Dissertation
"EDSC3001,",Professional Practice in Secondary Education 3
"COMP3005,",Computer Project 2
"COMP6004,",Strategic Information Management
"COMP0001,",Information Technology
"GMED6008,",Management of Pain Disorders
"GRAD7001,",Doctoral Thesis - Supplication
"GRDE1010,",Design Technology
"FNCE6000,",Master Thesis - Finance
"FNCE7000,",Doctoral Thesis - Finance
"GMED3001,",Applied Bioscience for Critical Care
"PRRE1000,",Equipment Operations and Bulk Fluid Storage
"PRRE1002,","Plant Shutdown, Commissioning and Cathodic Protection"
"SPPA4000,",Honours Research in Speech Pathology 1
"EDSC2001,",Professional Practice in Secondary Education 2
"BIOL2000,",Foundations of Food Microbiology
"BLAW5021,",Business Law Research Project 1
"MINE6001,",Mining Dissertation
"MKTG6002,",Marketing Project 2
"NURS4000,",Nursing Honours Project
"NURS4008,",Nursing Honours Proposal Preparation
"NURS5011,",Health Project Preparation
"NURS5016,",Clinical Leadership
"NURS5034,",Comprehensive Health Assessment
"ARCH3001,",Special Topics in Architecture Construction and Planning
"ASIA1004,","Languages, Arts and Crafts of Borneo"
"ASIA2004,",Asian Religion and Philosophy
"ASIA3002,",Borneo Indigenous Community Research Project
"EDSC2002,",Technologies to Engage Learners
"EDSC4002,",Curriculum and Instruction in Upper Secondary Languages
"ECON6000,",Master Thesis - Economics
"SPPA4011,",Honours Research in Speech Pathology 2
"JOUR5007,",Graduate Photo Journalism
"ENGL0019,",ACE001 Academic English
"COMS0016,",LTP001 Learning at University : Tools & Practices
"MATH0023,",MAT001 Mathematics for Business
"MGMT0012,",IBU001 Introduction to Business
"COMS0018,",IVP001 Introduction to Video Production
"MATH0024,",MAT002 Mathematics for Information Technology
"COMP0007,",RCO001 Robotics & Coding
"COMS0017,",MDC001 Introduction to Media & Digital Communication
"MATH0025,",MAT003 Mathematics for the Health Sciences
"PSYC0001,",RSP001 Research in Psychology
"LAWS5021,",Employment & Industrial Relations Practice
"PHAR5010,",Professional Pharmacy Practice 1
"WORK2004,",Go Global - Internship 1
"WORK3005,",Go Global - Internship 3
"ISEC6002,",Advanced Cyber Security Practices
"MATH0020,",Fundamentals of Business Mathematics
"NURS4003,",Honours Research Project Skills
"COMP5012,",Digital Futures 1
"COMP5014,",Digital Futures 3
"COMP5013,",Digital Futures 2
"COMP5015,",Digital Futures 4
"PHYS0006,",Physics for Engineers 2
"INDS1002,","Rock Art, Archaeology and Antiquity"
"ENST6001,",Sustainability Management Dissertation 1
"HUMB3010,",Physiology in Extreme Conditions
"OCCT5004,",Principles of Research Design
"AQUA6000,",Aquaculture Technology
"ENGR3004,",Multiphase Flow in Porous Media
"ENGR4003,",Energy Production
"ENGR3003,",Porous Media Characterisation
"ERTH1002,","Land, Sea and River Ranger Management 3"
"ERTH1003,","Land, Sea and River Ranger Management 4"
"ERTH1000,","Land, Sea and River Ranger Management 1"
"ERTH1001,","Land, Sea and River Ranger Management 2"
"EDPR5007,",Statistics For Educators
"EDSC6000,",Research-Based Inquiry to Enhance Practice
"INCD3002,",Facilitating Indigenous Community Education
"SPPA6014,",Allied Health Research Project
"ENST5006,",Ecotoxicology and Environmental Monitoring
"EDPR6000,",Extending English in the Primary Years
"EDHE5007,",The Learning Cycle: Design and Curriculum
"EDHE5010,",Research for the Scholarship of Learning and Teaching
"EDUC5023,",Teaching English to Speakers of Other Languages Methodologies
"LAWS2006,",Mooting
"INFO5052,",Communities and Literacies
"PARA3004,",Paramedicine Professional Leadership Project
"PHRM6009,",Hospital Pharmacy Placement
"MKTG5000,",Marketing of Services
"MKTG5001,",Contemporary Issues in Tourism Marketing
"ACCT5027,","Public Sector Accounting, Accountability and Policy"
"MGMT3033,",Wicked Challenges
"IMED5009,",Pharmaceutical Biology
"GRDE5001,",Art and Design Concepts and Contexts
"GENE5001,",Trace DNA
"EDUC6046,",Education in the Post-Truth Era
"FNCE6002,",Financial Technology
"MKTG6011,",Consumer Science and Innovation
"MKTG6012,",Big Data Analytics in Marketing
"MGMT5055,",Corporate Governance (GIA)
"MGMT5057,",Risk and Compliance (GIA)
"MGMT5054,",Public Law and Government (GIA)
"MGMT5056,",Finance for Decision Making (GIA)
"EDSC3009,",Educating Adolescents: Diversity and Inclusion
"INDS2005,",Indigenous Cultural Study Tour 1
"REHT6006,",Integration of Evidence Based Clinical Practice
"EDPR5004,",Teaching Humanities and Social Sciences in the Primary Years
"MKTG5013,",Brand Semiotics and Storytelling
"MKTG5008,",Integrated Global Communications
"PHAR6007,",Professional Pharmacy Practice 3
"INFO5009,",Research and Evaluation
"ENGL0009,",Unit 1.1 - General English
"INFO5007,",Telling Stories with Data
"INFO5043,",Libraries as Organisations
"EDUC6003,",Perspectives on Educational Research
"STRD2003,",Unconventional Threats and Conflict
"ECON6027,",Economics for Investment
"EDEC6001,",Early Literacies and Play-Based Pedagogies
"ENEN2000,",Engineering Sustainable Development
"MXEN2000,",Mechatronics Modelling Project
"INTR5005,",Globalised Terrorism
"INTR5002,",The Geopolitics of East Asia
"INTR5001,","Women, Peace and Security"
"POLS5004,",Environmental and Energy Security
"IMED6006,",Integrated Pharmacology and Therapeutics - Complex Cases
"FNCE5011,",Treasury Risk Management
"ENGL0010,",Unit 1.2 - General English
"STRD3003,",Strategic Analysis Project
"EDUC6050,",Education for a Future: Learning for Sustainability
"EDUC6058,",Pedagogies for Learner and Community Diversity
"EDUC6048,",Designing STEM Integration
"INFO5050,",Critical Information Values
"NURS5006,",Advanced Screening and Diagnostics
"EDEC5006,",Creative and Media Arts in Early Childhood
"EDUC6054,",Empowering Learners Through Social Justice Leadership
"GEOT4002,",Geotechnical Design and Construction
"EDUC6056,",Leading Learning in Multilingual Contexts
"EDPR5008,",Teaching Arts in the Primary Years
"EDUC6060,",Becoming a Leader of STEM Education
"EDUC6066,",Schooling and Australian Society
"LAWS5017,",Administrative Law Practice
"EDUC5021,",Materials Design and Assessment
"LAWS5019,",Wills & Estates Practice
"EDEC5002,",Numeracy for 5 to 8 Year-Olds
"EDUC6062,",Professional Experience 3: Using Data to Inform Teaching and Learning
"EDEC5001,","Early Childhood Professional Experience 2: Planning for Writing, Assessment and Reporting"
"EDUC5009,",Pedagogies for Diversity
"EDUC5005,",Theories of Development and Learning
"EDSC5022,",Managing the Learning Environment
"EDEC5008,","Health, Safety and Physical Education in Early Childhood"
"EDPR5005,",Teaching Science in the Primary Years
"WORK3006,",Go Global - Internship 4
"PARA2000,",Paramedic Clinical Practice 1
"GMED3002,",Applied Paramedic Bioscience 3
"CNCO3002,",Advanced Computer Communications
"ECON6019,",International Resource Trade
"URDE5032,",Special Topics in Urban & Regional Planning
"EDSC4020,",Curriculum and Instruction Lower Secondary: Mathematics
"EDSC3007,",Curriculum and Culture in Secondary Schools
"EDUC4042,",Alternative Approaches to Teaching Literacy and Numeracy
"ENEN4010,",Socio-Economic Impacts of Engineering
"EDSC4024,",Curriculum and Instruction Lower Secondary: Humanities and Social Sciences
"EDPR3000,",Inquiry in the Mathematics Classroom
"EDEC4006,",Social Justice and Diversity in Early Childhood
"EDPR2016,",Health and Physical Education
"EDPR3014,",Visual and Media Arts Education
"ENEN3006,",Hydraulics and Hydrogeology
"ENGR5003,",Net Zero Engineering Fundamentals
"EDUC4053,",Teaching Health Education in Primary Schools
"EDUC5004,",Sexuality and Relationships Education
"EDUC6044,",Professional Experience Global: Using Data to Inform Teaching and Learning
"EDUC4046,",Technologies: Digital Solutions
"EDUC4052,",Primary Physical Education: Curriculum & Assessment
"EDUC4034,",iSTEM: Social Issues
"EDUC4051,",Physical Education Pedagogy
"EDUC4022,",Creative Literacies
"EDPR3004,",Cultural Contexts in Primary Education
"GEOL2007,",Structural Geology
"GEOL3003,",Hydrogeology and Engineering Geology
"GEOL1008,",Dynamic Earth
"GEOL5003,",Geological Concepts
"GEOL5017,",Ore Deposits
"GEOG3001,",Sustainable Livelihoods
"GEOG2001,",Geographies of Food Security
"GEOL2008,",Field Geology Techniques
"GEOL2003,",Mineralogy and Geochemistry
"GEOL3009,",Field Studies of Sedimentary Basins
"GEOL3012,",Basin Dynamics
"GEOL5005,",Field Geology and Maps
"GEOG2002,",Fieldwork Skills
"GEOG1000,",Human Geography
"FNCE4002,",Advanced Investment Analysis
"FOOD6000,",Food Product Development
"FNCE7002,",Applied Investment Analysis
"FNCE7001,",Issues in Corporate Finance
"ENHL3000,",Environmental Systems Management
"FNCE4000,",Contemporary Issues in Corporate Finance
"FOOD2003,",Food Chemistry
"FORS1005,",Foundations of Forensic Science
"FORS2000,",Forensic Trace Evidence
"GENE3002,",Human Genetic Disease
"GEOL4001,",Geoscience Analytical Techniques
"GEOL3010,",Ore Deposits
"GEOL5004,",Applied Geochemistry
"GEOG5005,",Human Geography
"GEOL5000,",Mining Geology and Resource Estimation
"FOOD3006,",Current Topics in Food Science
"CWRI3002,",Travel Writing
"CSEN6008,",Structural Actions and Steel Design
"ECEV2000,",Terrestrial Ecology
"ECOM6005,",Econometrics Fundamentals
"ECOM5000,",Introductory Econometrics
"ECEV3002,",Borneo Ecosystems and Resources
"ECON3002,",Economic Modelling
"CTED4008,",Teaching About the Gospels in Catholic Schools
"CTED4001,",Teaching About Sacraments in Catholic Schools
"ECON7004,",Contemporary Microeconomics
"EDSC3011,",Species Evolution Over Time
"ECON7003,",Contemporary Issues in Macroeconomics
"CSEN6003,",Engineering Quality Assurance Frameworks and Applications
"ECON2006,",Applied Economics
"CSEN6000,","Engineering Contracts, Legislation and Quality"
"CSEN6001,",Engineering Economics and Whole-Cost Management
"BLDG4028,",Contract Administration
"CHEM2002,",Chemistry of Biological Processes
"CHEM3007,",Advanced Biological Chemistry
"CHEM2000,",Chemical Energetics and Kinetics
"BLDG4034,",Engineering Measurement
"CHEM3004,",Analytical Chemistry and Spectroscopy
"CHEM3002,",Chemical Sensing and Measurement
"BLDG4027,",Professional Practice in Construction
"CHEM2008,",Chemistry for Sustainability
"EDSC4034,",Curriculum and Instruction Lower Secondary: Health and Physical Education
"EDUC4036,",Language and Diversity
"EDSC4032,",Curriculum and Instruction Lower Secondary: The Arts
"EDUC4012,",Relationships and Sexuality Education
"EDUC4014,",Diverse Abilities and Curriculum Differentiation
"EDUC4032,",iSTEM Education through Digital Stories
"AGRI5002,",Advanced Soil Systems
"ARCH3026,",Architecture Design Studio 3A - Multi Residential
"ARCH5007,",Architectural Systems and Research Methods
"CMPE6002,",Network Design
"COMP0005,",Programming in C++
"COMP6018,",Advanced Problems in Computer Science
"COMS0007,",Academic Writing Skills
"COMS0003,",Preparatory English
"COMS0010,",Introduction to Research Projects
"CHEN3010,",Reaction Engineering
"COMP5007,",Artificial and Machine Intelligence
"COMP6012,",Neural Networks and Statistical Machine Learning
"COMS0009,",Critical Thinking Skills
"COMT6004,",Internet of Things Design and Communications
"PHTY4016,",Physiotherapy Leadership
"PHTY4017,",Physiotherapy Honours Research
"PHTY4018,",Physiotherapy Honours Dissertation
"PHTY4007,",Interprofessional Practice
"PHTY4008,",Evidence Based Practice in Physiotherapy
"FASH3001,","Fit, Form and Function"
"FASH3004,",Fashion Merchandising
"ENST3007,",Wildlife Conservation
"ENHL3001,",Fundamentals of Environmental Health Management
"FASH2000,",Garment and The Body
"FASH2001,",Culture and Dress
"FASH3000,",Language of Dress
"ERTH4002,",Geoscience Professional Practice
"FNCE3003,",Issues in Financial Planning Practice
"ERTH3001,",Climate and the Biosphere
"ERTH5002,",Habitat and Landform Mapping
"ETEN6000,",Control Systems
"ENHL6003,",Environmental Health Risk Assessment
"ENST3008,",Biodiversity Conservation
"ERTH3000,",Habitat and Landform Mapping
"EDSC4022,",Curriculum and Instruction Lower Secondary: Science
"CWRI5015,",Graduate Travel Writing
"ECON4001,",Advanced Microeconomics
"ECON4002,",Advanced Macroeconomics
"ACCT7001,",Financial Accounting Theory for Doctorate
"AERO3000,",Space Systems Design
"ACTL4003,",Predictive Analytics Principles
"ACTL4000,",Actuarial Control Cycle 1
"CHEN3014,",Water and Wastewater Treatment Processes
"CMPE6001,",Computer Aided Engineering of Digital Systems
"CMPE3006,",Advanced Digital Design
"CHIN2001,",Intermediate Chinese: Everyday Contexts
"CHIN3002,",Advanced Chinese: Cultural Connections
"CHEN4004,",Computational Fluid Dynamics
"CHEM2004,",Chemical Structure and Spectroscopy
"AGRI2001,",Animal Production
"ARCH1018,",Architecture and Interior Architecture Methods 1A - Analogue Literacy
"ARCH3006,",Environmental and Building Systems in Architecture
"ARCH3009,",Twentieth and Twenty-First Century Architectural Theories
"AGRI5001,",Animal Science
"AGRI3004,",Advanced Livestock Production Systems
"ARCH5006,",Architecture and Culture Research Topics and Methods
"ARCH3027,",Architecture Methods 3A - Digital Futures
"ARCH6026,",Architectural Thesis Project 1
"CMHL4002,",Contemporary Health and Social Issues in Australian Communities
"CMHL4001,",Complexity and Case Management
"CMHL2001,",Working with Communities
"CHIN3000,",Advanced Chinese: Language Variations
"CHIN2000,",Chinese Society and Culture
"CHEN5000,",Process Heat Transfer
"CHEN5039,",Advanced Unit Operations
"CHEN5040,",Reaction Engineering
"CHEN3012,",Materials Selection and Corrosion
"LAWS1000,",Introduction to Contract Law
"LAWS1002,",Introduction to Tort Law
"LAWS1006,",Legal Research and Writing
"LAWS4000,",Advanced Legal Research and Writing for Honours
"LCST1004,",Introduction to Cultural Studies
"JAPN2001,",Intermediate Japanese: Everyday Contexts
"ISYS5003,",Technological Infrastructure
"ISYS3004,",Business Web and Mobile Technologies
"JAPN3000,",Advanced Japanese: Intercultural Communication
"ISYS6011,",Computer Forensics
"LAWS1005,",Legal Foundations
"ISYS5004,",Information Systems Implementation
"ISYS3006,",Business Applications
"MATH5000,",Theory of Interest
"MATH5006,",Numerical Methods
"MATH5009,",Contingencies 1
"MEDI2009,",Investigations in Infectious Microbiology
"MATH3011,",Present and Future Mathematics
"MATH1022,",Mathematics for Science
"MATH0021,",Engineering Mathematics 1
"MATH3009,",Contingencies 1
"MATH3008,",Survival Models & Analysis
"MARI3000,",Advanced Marine Science and Technology
"HUMB2006,",Exercise Physiology
"HUMB3006,",Applied Exercise and Sports Physiology
"HUMB2015,",Human Movement Science
"HEAL6043,",Health Economics
"HIST3000,",A History of Nationalism and Nation-Making
"HUMB2010,",Motor Control
"HUMB2014,",Vital Physiology
"HIST1000,",Legacies of Empire
"HEAL1000,",Introductory Physiotherapy Practice
"HIST3003,",Australians at War
"HIST2001,",Democracy and Dictatorship
"HLPR6004,",Diversity and Difference in Health Promotion
"HLPR6013,",Introduction to Health Promotion
"GRDE6005,",Critical Design Theory
"HUMB1005,",Applied Anatomy
"HEAL6010,",Organisation of Health Care Systems
"HLPR6001,",Health Promotion Strategies and Methods
"HLPR2002,",Health Promotion Methods
"HLPR1000,",Health Promotion Principles and Values
"HLPR2004,",Health Promotion Planning
"HRIG5013,",Introduction to Human Rights and Social Justice
"HRIG5001,",Social Justice and Development
"HLPR3004,",Health Promotion in Challenging Contexts
"HLPR2005,","Health Promotion, Equity and Social Justice"
"HRIG5004,",Forced Migration and Refugee Rights
"HLPR3000,",Evidence and Evaluation in Health Promotion
"LAWS4004,",Contemporary Legal Theories and Issues
"JAPN2000,",Japanese Society and Culture
"KORE2000,",Korean Intermediate 3
"KORE3000,",Korean Advanced 5
"MIDW1002,",Introduction to Midwifery Bioscience
"MICB5000,",Applied Food Microbiology
"ISEC1001,",Infonet Security Fundamentals
"ISEC6004,",Incident Handling and Forensics in Network Defence
"INDS6003,",First Nations LGBTQIA plus Identities and Perspectives
"INTR5009,","Cyber Conflict, Information Operations and Espionage"
"KORE1000,",Korean Beginners 1
"MEDI4007,",Applied Laboratory Medicine Practice 3
"MGMT0005,",Introduction to Business Management
"MGMT1005,",Introduction to Commerce
"MATH3000,",Complex Analysis
"MATH2015,",Mathematical Computing
"MATH1017,",Advanced Calculus 1
"MATH3002,",Numerical Optimisation
"LCST2006,",Genre and Classic Texts
"MATH5011,",Survival Models & Analysis
"MCEN4020,",Computational Fluid Dynamics and Heat Transfer
"MEDA0002,",Introduction to Visual Culture
"MEDA0004,",Introduction to Media and Communication Studies
"MEDA2000,",Media and Indigenous Australian Issues
"MEDI2010,",Molecular Cytogenetics and Diagnostics
"MEDI3005,",Topics in Medical Science
"LCST3006,",Decolonising Place
"INAR2022,",Philosophy and Practice
"INAR3005,",Interior Architecture Studio - Well-being
"INCD1004,",Introduction to Indigenous Australian Ways of Working
"INCD1002,",Indigenous Australian Issues and Factors in Local Region
"INCD2001,",Indigenous Australian Political Contexts
"INCD3003,",Indigenous Australian Community Development Strategies and Practices
"INCD3012,",Introduction to Evaluation in Indigenous Community Program Context
"INCD3014,",Digital Literacy in Indigenous contexts
"INCD3011,",Leadership in Indigenous Australian Contexts
"INAR1010,",Interior Architecture Studio - Foundation
"INAR2024,",Design Fabrication
"IMED3006,",Integrated Pharmacology and Therapeutics 2
"INCD1007,",Writing and Communication Skills for Indigenous Australians
"INCD2005,",Indigenous Australian Organisational Practice and Management Skills
"INCD2008,",Governance and Policy in Indigenous Australian Contexts
"INCD2009,",Initiating and Planning Indigenous Australian Community Projects
"INCD2010,",Facilitation Processes in Indigenous Australian Contexts
"INDE3000,",Industrial Modelling and Optimisation
"INDE2002,",Network Optimisation for Transport and Logistics
"INDE5000,",Supply Chain Modelling and Optimisation
"INDH1001,",Indigenous Australian Healing Practices
"IMED3005,",Medicinal Chemistry and Clinical Pharmacokinetics
"INDE6001,",Industrial Modelling and Optimisation
"INDE6002,",Network Optimisation for Transport and Logistics
"HUMV2000,",Biomechanics
"IMED4001,",Central Nervous System (CNS) Pharmacology and Therapeutics
"ICTE5001,",Advanced Human Computer Interface
"IMED3010,",Systems Pharmacology
"INAR4023,",Adaptive Reuse and Heritage
"IMED2000,",Immunology and Infectious Diseases for Pharmacists
"INAR2007,",Interior Architecture Fundamentals
"INAR4031,",Interior Architecture Honours Proposal
"INAR3022,",Interior Architecture Practice 1
"INDH2006,",Indigenous Mental Health
"INDH2011,",Aboriginal and Torres Strait Islander Mental Health First Aid
"INDH3004,",Mental Health Research Evaluation
"INDS0001,",Leadership in Community and Organisations
"INDS3001,",Indigenous Australians in the 21st Century
"INDH3005,",Principles and Practices of Counselling
"GRDE2016,",Image Design Culture
"GRDE3005,",Design Innovation Futures
"GRDE5010,",Experience Making
"GEOP2009,",Planetary and Minerals Geophysics
"GEOP6015,",Advanced Seismic Processing
"GEOP1002,",Foundational Geophysics
"MGMT4007,",Contemporary Issues in Management
"MGMT6056,",Start-Up Project
"MINE4011,",Mine Automation and New Technologies
"MINE6030,",Continuum and Discontinuum Mechanics
"MIRA3000,",Clinical Medical Imaging Practice 3
"MGMT6055,",Commercialisation of Technological Innovation
"MINE4008,",Mine Asset Management and Services
"MIRA3003,",Professional Medical Radiation Practice
"MIRA3006,",Medical Radiation Pathology 2
"MIRA3008,",Radiation Therapy Practice 4
"MIRA3004,",Medical Imaging Practice 4
"MKTG0002,",Industrial Training
"MIRA4010,",Medical Radiation Research Project 1
"MGMT5000,",Employment Relations in Australia
"MGMT2003,",Sustainable Event Development
"MEDS6016,",Paediatrics
"MEDS2000,",Clinical Pathophysiology
"MEDI3014,",Advanced Biomedical Science Research Project 1
"MEDS6021,",Advances in Clinical Nutrition
"MEDS2004,",Studies in Cognitive Neuroscience and Motor Speech Disorders
"MEDS6022,",Medical Nutrition Therapy
"MEDS3004,",Integrated Gerontology
"MEDI3016,",Frontiers in Immunology
"MEDS3003,",Orthoses and Upper Limb Rehabilitation
"MEDS5009,",Pathophysiology for Dietetics
"MEDI3017,",Medical Pathophysiology
"MEDS6018,",Neuroscience for Occupational Therapy
"MEDS5015,",Pathophysiology for Occupational Therapy
"MEDI4008,",Applied Laboratory Medicine Practice 2
"MEDS4003,",Principles of Epidemiology and Biostatistics
"MGMT6032,",Legal Issues in Human Resources
"MKTG6009,",Marketing Philosophy and Paradigms
"NETS5010,",Graduate Web Media
"NETS5011,",Graduate Online Games and Play
"NETS5004,","Graduate Social Media, Communities and Networks"
"MKTG4004,",Advanced Consumer Behaviour for Honours
"MXEN3003,",Design of Mechanical Components
"NPSC1002,","Science, Technology and Global Problems"
"STAT3010,",Financial Engineering 2
"STAT2003,",Analytics for Experimental and Simulated Data
"STAT4002,",Introduction to Applied Statistics
"STAT3000,",Statistical Inference
"STAT5008,",Mathematical Statistics
"SPAT5009,",Applied Remote Sensing
"SPPA1001,",Introduction to Human Communication Science
"SPAT5006,",Fundamentals of Geographic Information Systems
"SPAT6003,",Geospatial Analysis
"SPAT5014,",Web Mapping and GeoVisualisation
"SURV3001,",Control Surveying
"PHYS4004,",High Performance Computing
"PHTY7024,",Advanced Sports Physiotherapy Clinics 1
"PHYS3005,",X-Ray Diffraction and Electron Microscopy
"STEN6006,",Concrete and The Environment
"SURV4000,",Cadastral Surveying
"STEN6004,","Plain, Reinforced and Prestressed Concrete Structures"
"SURV3002,",Mine Control Surveying
"STAT0001,",Introduction to Statistics
"STAT2001,",Mathematical Statistics
